Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","06/04/2023 14:28 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=15Eqwr
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2022,Azerbaijan,AZE,Finland,FIN,71,0,-
2022,Azerbaijan,AZE,France,FRA,4664,271,-
2022,Azerbaijan,AZE,"United Kingdom of Great Britain and Northern Ireland",GBR,143,97,-
2022,Azerbaijan,AZE,Georgia,GEO,0,5,-
2022,Azerbaijan,AZE,Germany,DEU,5532,2399,-
2022,Azerbaijan,AZE,Greece,GRC,5,0,-
2022,Azerbaijan,AZE,Croatia,HRV,5,0,-
2022,Azerbaijan,AZE,Hungary,HUN,14,0,-
2022,Azerbaijan,AZE,Iceland,ISL,5,0,-
2022,Azerbaijan,AZE,Ireland,IRL,5,0,-
2022,Azerbaijan,AZE,Israel,ISR,0,29,-
2022,Azerbaijan,AZE,Italy,ITA,5,29,-
2022,Azerbaijan,AZE,"Rep. of Korea",KOR,0,8,-
2022,Azerbaijan,AZE,Lithuania,LTU,17,0,-
2022,Azerbaijan,AZE,Luxembourg,LUX,12,0,-
2022,Azerbaijan,AZE,Latvia,LVA,11,12,-
2022,Azerbaijan,AZE,"Rep. of Moldova",MDA,709,57,-
2022,Azerbaijan,AZE,Netherlands,NLD,264,102,-
2022,Azerbaijan,AZE,Norway,NOR,15,14,-
2022,Azerbaijan,AZE,Poland,POL,234,26,-
2022,Azerbaijan,AZE,Portugal,PRT,10,5,-
2022,Azerbaijan,AZE,"Russian Federation",RUS,28,5,-
2022,Azerbaijan,AZE,Spain,ESP,71,45,-
2022,Azerbaijan,AZE,Slovakia,SVK,23,0,-
2022,Azerbaijan,AZE,Slovenia,SVN,5,0,-
2022,Azerbaijan,AZE,Sweden,SWE,658,217,-
